label,class
nice to meet another web historian.,satisfied
i so admire your work,satisfied
"heh, thanks, that's nice to hear :)",very satisfied
i recently upgraded to 2.8 i think and its so blisteringly fast,very satisfied
"yes, though currently a bit frustrated with the hudson server they provided us",unsatisfied
these people are mindless drone,unsatisfied
i want ambitous people,satisfied
"np, happens all the time :)",satisfied
welcome to capitalism,very satisfied
but that's a very difficult to do,very unsatisfied
We only need a handful of people,unsatisfied
good systems meaning sustainable systems made with the user in mind,satisfied
All of those things cost money.,unsatisfied
system is general enough to solve all those problems,satisfied
operatng system with java,unsatisfied
i don't like secrets,unsatisfied
Lack of privacy offers a very large amount of power to people outside your control,unsatisfied
And people are bastards,very unsatisfied
i believe that privacy contributes to the evil that makes us seek privacy,unsatisfied
 i don't actually believe these to be real issues,unsatisfied
"Yeah, good luck with that",satisfied
a short-term goal that pollutes clear thinking and ambition,satisfied
it's not looking too good,unsatisfied
there is definitely no 'true' and 'faslse' data about people,satisfied
what is true,neutral
what is a wrong context for true data to exist,neutral
I will learn more about rhiaro for sure,satisfied
what does your language look like?,neutral
i don't understand,unsatisfied
that's a cool area to explore,satisfied
Isn't what AI is all about,neutral
oh god damnit sorry,very unsatisfied
silly admins frustrating the end to end principle,unsatisfied
It'll work in passive mode,neutral
wouldn't pass firewalls,unsatisfied
I misunderstood what you meant :),satisfied
Feedback/Contributions welcome,very satisfied
"haha, thanks, dude!",satisfied
im very familiar with Node.js,satisfied
"I'm trying to activate c++ support for swig, but can't",unsatisfied
Can't reach it at the moment,unsatisfied
"thanks, I'm trying",satisfied
nice data,satisfied
i agree it wouldn't hurt to mention,satisfied
i disagree it wouldn't hurt to mention,unsatisfied
This one is better,satisfied
unfortunately graphdb doesn't support ,unsatisfied
you're welcome,very satisfied
very interesting working draft (:,very satisfied
Sounds good,satisfied
oops sorry,neutral
I think we'd need more people in here doing that first,neutral
No problem. Happens all the time. :),satisfied
The json-ld playground gives a warning,unsatisfied
Nothing found on LOV,unsatisfied
this sounds interesting :),satisfied
this ppl suck,very unsatisfied
I am not happy,unsatisfied
greeat work,very satisfied
ok take ur time,neutral
One of my biggest frustration is the fragmentation of software.,very unsatisfied
 and that resembles timbl's frustration that made him create the Web,unsatisfied
lacking ideas,unsatisfied
it could make a very best c to renewable energy,very satisfied
that'd be my answer :-),satisfied
 :) having both is not a bad idea,satisfied
saya sangat sedih,very unsatisfied
SS is so bad that we have infinite number of designs on the Web,unsatisfied
 I haven't updated the footnote/annotation stuff ,unsatisfied
 I haven't updated the footnote/annotation stuff ,neutral
You might prefer it on a handheld,satisfied
happpy runs most than during mm lx cars foot cats cactuses,satisfied
I don't like the movie,unsatisfied
Is there a way to tell to swig not rename function with things like SWIG or something like that ?,neutral
I must say FUCK,very unsatisfied
Great Success ,very satisfied
It's ugly,unsatisfied
 but it'll work and it'll be pretty powerful.,satisfied
he got many problem at all,unsatisfied
the good rule will produce,unsatisfied
match negatives,unsatisfied
that would be helpful,satisfied
 i think could work,satisfied
"Urgh, maven. :(",unsatisfied
cream :),satisfied
I feel is quite :)),very satisfied
poorly authored by people who don't have the time to understand or care,unsatisfied
that sounds good for world-wide standardization,satisfied
its good to see someone is taking a big stick to companies,satisfied
nothing at all,neutral
I very dslke him,unsatisfied
"since last year, I beh tahan this guy attitude already",unsatisfied
well planning to use redland,very satisfied
What facilities does Redland have for reasoning?,neutral
great :),very satisfied
stupid people,unsatisfied
best represent businesses with multiple locations,very satisfied
Loved the book,very satisfied
very good research too,very satisfied
not good enough,unsatisfied
I dun wan see you again,unsatisfied
that's excellent,very satisfied
 much better than holland,satisfied
been a better fit for it,satisfied
 Function room don't have,unsatisfied
looked at it for a while :(,unsatisfied
You can pass to me on tuesday if you need more time,satisfied
need for opening hours is a good rule language,neutral
unless there's good date handling ion the query language,satisfied
defining easter ;),satisfied
great name,very satisfied
"loving  it , quite excelent",very satisfied
his books are wonderful,very satisfied
He's done some good stuff,satisfied
I can't remember his name,unsatisfied
 Wow! Nice! Great job,very satisfied
 yes :),satisfied
all magazines tend to go up and down,unsatisfied
He's done some good stuff.,satisfied
"yeah, please use your creativity ya. thank you",neutral
I also like that guy who writes for wired,satisfied
 i need time postpone our meeting to 2.30pm. Sorry for the inconvenience,unsatisfied
taste way more horrible,very unsatisfied
you misspelled Dieter :P,satisfied
i liked the sauna a lot,satisfied
nani,neutral
well planning to use redland,very satisfied
none,neutral
nothing at all,neutral
Gotcha,satisfied
"however, patches are always welcome",very satisfied
 I suppose you've changed your pass now? ;),satisfied
this worked too ;),satisfied
"I'm an angel, so respect my f***** authority",very unsatisfied
g'nite all,neutral
good morning,neutral
good afternoon,neutral
does anyone use RDFlib for python programming?,neutral
 Does that help?,neutral
it's exactly what i need,very satisfied
You're welcome,very satisfied
i was imagining it was simple,satisfied
"well, it seems you have got your files in better order than me :]",satisfied
i think the value of (and limits of) hierarchical browsing is pretty well known,very satisfied
how would you model a filesystem in rdf?,neutral
recommended person,very satisfied
"sadly, not all such projects can be discussed openly.",unsatisfied
that is excellent,very satisfied
I have failed the subject,unsatisfied
I got CGPA 4.0,very satisfied
I pass all the subject,satisfied
no fail,satisfied
no resit,satisfied
no repeat,satisfied
pretty fun. i liked the sauna a lot,very satisfied
Excellent location wif breakfast hamper!!!,very satisfied
Cant eat liao,unsatisfied
I prefer my free days,satisfied
oh god damnit,unsatisfied
 Me bored now da lecturer repeating last weeks stuff waste time,unsatisfied
so li lar,neutral
sory lo,neutral
m eating wif my frens now lei,neutral
No break time one,unsatisfied
Havent still waitin as usual,unsatisfied
you got da help sheet wif you,satisfied
diu ,very unsatisfied
chee bai,very unsatisfied
ham ka chan,very unsatisfied
pokai,very unsatisfied
cb ,very unsatisfied
chou hai,very unsatisfied
lan jiao,very unsatisfied
nia sing,very unsatisfied
I dunno lei,neutral
I dun know,neutral
Beauty sleep can help ur pimples too,satisfied
up to you,satisfied
I lazy to type,unsatisfied
I forgot u in lect,unsatisfied
I saw a pouch but like not v nice,unsatisfied
Y u wan to go there?,unsatisfied
Wat uniform?,neutral
Nothin comes to my mind,unsatisfied
Ur laptop not heavy?,neutral
Me n him so funny,satisfied
Me n him very funny,very satisfied
Yup you not comin :-(,unsatisfied
bojio,neutral
I jokin oni lar,neutral
ok lo,neutral
Call me 4 wat?,neutral
Happy birthday,satisfied
Ok lor thanx.,satisfied
ok thanx,satisfied
I am hungry ,unsatisfied
you only send me the contents page,unsatisfied
you only send me the contents page,unsatisfied
Oh ok no prob,satisfied
Huh so early,satisfied
Gd luck for your exams :-),satisfied
Sorry sent blank msg again,neutral
reached already,satisfied
Mine here like all fr china then so noisy.,unsatisfied
All the best 4 ur driving tmr :-),very satisfied
I never thought it would be so difficult to find a library with a basic set of functions like parsing a single n-quad,unsatisfied
I don't really like nodejs :),unsatisfied
it's also weird in a way that all the software that I've tried,unsatisfied
sorry no budget,unsatisfied
any suggestion is welcome,very satisfied
I cannot import,unsatisfied
"but it looks like just a simple typeo, should be easy to fix",satisfied
"its not weird, its a valid hypothesis",satisfied
he contribute to SW,satisfied
high contribute,very satisfied
 I just receive leh,neutral
where are you ,neutral
I dunno how to do,neutral
You need do what ??,neutral
Wah graduate already,very satisfied
havent graduate,satisfied
cannot graduate,very unsatisfied
back :-(,unsatisfied
waiting graduation,satisfied
punish keep on do push up,unsatisfied
Hahahahaha,satisfied
I miss you,satisfied
l love you so much ,very satisfied
I feeling want to suicide,satisfied
Just forced myself to eat a slice,unsatisfied
I have depression,very unsatisfied
wo jin tian hen kai xin,very satisfied
hen shang xin,very unsatisfied
kai xin,satisfied
bu kai xin,unsatisfied
shang xin,unsatisfied
I emo already,unsatisfied
emo until sick,very unsatisfied
what course you study,neutral
Tmr got anything to do ?,neutral
Today I no go service,unsatisfied
Now coming,neutral
coming,neutral
"Yup,is a surprise",very satisfied
