label,class
U really got special treatment,satisfied
Fuck man,very unsatisfied
Okay. No problem,satisfied
Yes! 😁,satisfied
☹☹ Sad!,unsatisfied
HApPy bIrtHday to the world's best brother,very satisfied
✌🏻💖 GREAT TO HAVE YOU WITH US,very satisfied
我妈脚 扭伤,unsatisfied
这个我不知道 应该可以,neutral
嗯嗯 后天正式上课,neutral
啊！！！烦死啦,very unsatisfied
自从有病了 我怎样也高兴不起来,very unsatisfied
跑的越快,satisfied
很难做到的,very unsatisfied
5m very 辛苦,very unsatisfied
赐福给你,satisfied
努力点,satisfied
😂 poor him,unsatisfied
哈哈 made me a day,satisfied
所以现在我是不能register了是吧,unsatisfied
对不用理他,neutral
我的电脑突然有问题 不能下载,unsatisfied
哦~好吧~,satisfied
但自己一個人面對然後堅持太久最後放棄失望了那時就完蛋了,unsatisfied
憂鬱症可大可小,very unsatisfied
No worries. Hopefully can meet you in prayer meeting later,satisfied
给意见,neutral
more 严格,unsatisfied
a sure. I m also encourage you to join tonight prayer meeting if you could make it😃,satisfied
Thanks peace tan 😄😄😄😄😄😄😄😄☺😄☺,very satisfied
struggling with the fee. still thinking solution,unsatisfied
不需要感觉尴尬,neutral
actually不需要感恩啦coz我们是朋友嘛,satisfied
你对我的好 我会感恩,satisfied
哦我没参加,unsatisfied
谢谢你,satisfied
我刚刚看到你的post我觉得如果你有什么问题你也可以跟我说啊也许我不能solve到你的problembut我可以成为很好的聆听者,neutral
有啊你没有参加😏,neutral
happy birthday😍,very satisfied
heyy最近如何,neutral
有参加,satisfied
ya😂,very satisfied
Ya the Dodge ball is quite fun and very tured haha,very satisfied
thanks for your protect😂,very satisfied
wahhh surprise😂,very satisfied
must take picture with me awww😍,very satisfied
tomorrow promise me😂,very satisfied
hi😂,very satisfied
just Im busy,unsatisfied
heyy😂,very satisfied
awww😍,very satisfied
tqvm senior,satisfied
Tqqq,satisfied
Done !,very satisfied
though u got something to tell me 😏,neutral
No problem 😁,satisfied
Sure 🙂,satisfied
thanks Kelvin😇😆,satisfied
Welcome 😄,satisfied
Done 🙂,satisfied
Goodluck ya,satisfied
可以告诉什么什么科几时考 可以吗,neutral
Chill with the name weih,satisfied
Morning everyone,neutral
Yeahhhh😭,satisfied
coz I dun know yet 😶,neutral
I will encourage you all to come and bring along your friends,satisfied
That's cool that's cool,satisfied
完全赞同你说的,very satisfied
可怜读书人额,unsatisfied
有能力,satisfied
我们将会担心,unsatisfied
我会担心,unsatisfied
Have a nice day 😘,very satisfied
一个不浪费的生命,satisfied
👍,satisfied
hmm,neutral
hm,neutral
ok,neutral
Eh... Den tmr when will u b passin me ur kids,neutral
Hmmm... Dun feel lk goin,neutral
den take care den,satisfied
Eh,neutral
Ehh,neutral
Ehhhh,neutral
Okie... No prob... Cya,satisfied
any feed back is welcome,satisfied
dun know,neutral
Eh xin ah,neutral
m watchin e sneak tonite leh,neutral
h... Haha,nuetral
anythin... ,neutral
Nope din buy anythin,neutral
s bd,unsatisfied
huh,neutral
oic,neutral
o i see,neutral
den where r u,neutral
this guy not bad also,satisfied
先不要跟 别人说 我有这种病,unsatisfied
Hmm ok 我明白,satisfied
Accept one another,satisfied
💪🏻💪🏻,satisfied
陪家人买东西 所以迟了,unsatisfied
加油不要害怕,satisfied
den u take care,satisfied
💪🏻💪🏻💪🏻💪🏻👊🏻👊🏻,satisfied
有 已经来了,neutral
感觉跟个人累累的,unsatisfied
很没精神,very unsatisfied
没精神,unsatisfied
严重了,very unsatisfied
not happy,unsatisfied
tidak gembira,unsatisfied
👍,satisfied
i ok 好了,satisfied
i am not happy with this lecturer,unsatisfied
你的病 怎样了？看起来很严重😨,unsatisfied
不用紧,satisfied
哦哦 好的,satisfied
体内有virus,very unsatisfied
my computer have virus,very unsatisfied
还是有不舒服,unsatisfied
还是有不舒服 可是好一点了,neutral
😇😇,satisfied
blessing from lord,satisfied
Thanks,satisfied
ty,satisfied
不要害怕,satisfied
Havnt reach home,unsatisfied
I only interest on him,satisfied
very unhappy,very unsatisfied
😂😂😂😂😂,very satisfied
❤❤,very satisfied
give u a like,satisfied
👍🏻👍🏻👍🏻,satisfied
这个真的很有创意一下,very satisfied
have a bless monday morning,satisfied
Come and have time is great fun and learning,very satisfied
The picture is nice,satisfied
so happie to see so many people,satisfied
💪🏻💪🏻💪🏻,satisfied
💖💖,very satisfied
Do encourage you to join us as in this camp,satisfied
😂😂😂,very satisfied
👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,very satisfied
In the future we must beware of ppl taking our ugly pics dy😂,satisfied
Famous in terms of human is not good,satisfied
do it🙂,satisfied
My is beautiful,satisfied
My pose is amazing beautiful,very satisfied
We miss u,satisfied
😂😂,very satisfied
blessed,satisfied
s funny when ppl say cannot celebrate Christmas,unsatisfied
more hahahhahahahah,satisfied
🙂,satisfied
the youth leadership team are all excited for this week youth service as we will be having the,satisfied
Tmr may be I will absent because feeling unwell,unsatisfied
👌👌,satisfied
Blessed Birthday,satisfied
💔💔,very unsatisfied
👍🏻👍🏻👍🏻👍🏻👌🏻,satisfied
i prayed that You will listen from above,satisfied
💓💓💓,very satisfied
❤❤💪🏻,very satisfied
お誕生日おめでとう,satisfied
激励和挑战年轻人,satisfied
有一个特别青年聚会,satisfied
❤God loves me,very satisfied
HAPPY BLESSED BIRTHDAY,satisfied
is creative🙇🏻,satisfied
😁💕,very satisfied
💛,very satisfied
So overwhelmed by love from all of you,very satisfied
心里火热,satisfied
不可懒惰,satisfied
我真棒,very satisfied
💩💩,very unsatisfied
Pretty sad but let me encourage you to continue fighting the good fight,satisfied
negative,unsatisfied
😂😂😂😅😅😅😂😂,very satisfied
take care will pary for you,satisfied
faithful servant,satisfied
👍🏻👌🏻,satisfied
😘 Hearts back for you 💛💛,very satisfied
Amen🙇🏻,satisfied
Amin,satisfied
amen,satisfied
Amen🙇🏻,satisfied
Amin,satisfied
amen,satisfied
worse come worse,very unsatisfied
THANK YOU EVERYONE!! LOVE YOU ALL MUCH 💕🙆🏻,very satisfied
💛💛💛💛,very satisfied
👍,satisfied
I saw your super tall friend and da jun again!,satisfied
And i'm like the  &lt,satisfied
Yes! 😁,satisfied
☹☹ Sad!,unsatisfied
HApPy bIrtHday to the world's best brother,very satisfied
✌🏻💖 GREAT TO HAVE YOU WITH US,very satisfied
我妈脚 扭伤,unsatisfied
这个我不知道 应该可以,neutral
嗯嗯 后天正式上课,neutral
啊！！！烦死啦,unsatisfied
自从有病了 我怎样也高兴不起来,very unsatisfied
So let me know your decision by today.😁😁,satisfied
Ya haha😄👌,satisfied
..........,neutral
i ok 好了,satisfied
i am not happy with this lecturer,unsatisfied
你的病 怎样了？看起来很严重😨,unsatisfied
不用紧,satisfied
哦哦 好的,satisfied
体内有virus,very unsatisfied
my computer have virus,very unsatisfied
还是有不舒服,unsatisfied
还是有不舒服 可是好一点了,neutral
😇😇,satisfied
blessing from lord,satisfied
Thanks,satisfied
ty,satisfied
不要害怕,satisfied
Havnt reach home,unsatisfied
I only interest on him,satisfied
very unhappy,very unsatisfied
😂😂😂😂😂,very satisfied
❤❤,very satisfied
give u a like,satisfied
👍🏻👍🏻👍🏻,satisfied
这个真的很有创意一下,very satisfied
have a bless monday morning,satisfied
Come and have time is great fun and learning,very satisfied
The picture is nice,satisfied
so happie to see so many people,satisfied
💪🏻💪🏻💪🏻,satisfied
💖💖,very satisfied
Do encourage you to join us as in this camp,satisfied
😂😂😂,very satisfied
👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,very satisfied
In the future we must beware of ppl taking our ugly pics dy😂,satisfied
Famous in terms of human is not good,satisfied
do it🙂,satisfied
My is beautiful,satisfied
My pose is amazing beautiful,very satisfied
We miss u,satisfied
😂😂,very satisfied
blessed,satisfied
s funny when ppl say cannot celebrate Christmas,unsatisfied
more hahahhahahahah,satisfied
🙂,satisfied
the youth leadership team are all excited for this week youth service as we will be having the,satisfied
Tmr may be I will absent because feeling unwell,unsatisfied
👌👌,satisfied
Blessed Birthday,satisfied
💔💔,very unsatisfied
👍🏻👍🏻👍🏻👍🏻👌🏻,satisfied
i prayed that You will listen from above,satisfied
💓💓💓,very satisfied
❤❤💪🏻,very satisfied
お誕生日おめでとう,satisfied
激励和挑战年轻人,satisfied
有一个特别青年聚会,satisfied
❤God loves me,very satisfied
HAPPY BLESSED BIRTHDAY,satisfied
is creative🙇🏻,satisfied
😁💕,very satisfied
💛,very satisfied
So overwhelmed by love from all of you,very satisfied
心里火热,satisfied
不可懒惰,satisfied
我真棒,very satisfied
💩💩,very unsatisfied
Pretty sad but let me encourage you to continue fighting the good fight,satisfied
negative,unsatisfied
😂😂😂😅😅😅😂😂,very satisfied
take care will pary for you,satisfied
faithful servant,satisfied
👍🏻👌🏻,satisfied
😘 Hearts back for you 💛💛,very satisfied
Amen🙇🏻,satisfied
Amin,satisfied
amen,satisfied
worse come worse,very unsatisfied
THANK YOU EVERYONE!! LOVE YOU ALL MUCH 💕🙆🏻,very satisfied
💛💛💛💛,very satisfied
👍,satisfied
